"text__text__1FZLe href","text__text__1FZLe","text__text__1FZLe 2","text__text__1FZLe href 2","styles__image-container__3hkY5 src","image","text__text__1FZLe 3"
"https://www.reuters.com/business/finance/hsbc-new-ceo-elhedery-committed-build-current-strategy-2024-09-02/","HSBC new CEO Elhedery 'committed' to build on current strategy","September 2, 2024","https://www.reuters.com/business/finance/hsbc-new-ceo-elhedery-committed-build-current-strategy-2024-09-02/","https://cloudfront-us-east-2.images.arcpublishing.com/reuters/N3ZVTXEXWVOADNSNYXR5WZSD7M.jpg","",""
"https://www.reuters.com/business/finance/investcorps-co-ceo-ben-gacem-leave-management-shake-up-2024-09-02/","Investcorp's co-CEO Ben-Gacem to leave in management shake-up","September 2, 2024","https://www.reuters.com/business/finance/investcorps-co-ceo-ben-gacem-leave-management-shake-up-2024-09-02/","https://cloudfront-us-east-2.images.arcpublishing.com/reuters/466BJJQ7PVGY5O53NZ3KL65MHM.png","",""
"https://www.reuters.com/markets/us/us-bond-funds-see-sharp-inflows-amid-bets-rate-cut-2024-08-30/","US bond funds see sharp inflows amid bets of rate cut","August 30, 2024","https://www.reuters.com/markets/us/us-bond-funds-see-sharp-inflows-amid-bets-rate-cut-2024-08-30/","https://cloudfront-us-east-2.images.arcpublishing.com/reuters/5PU2R5KZXBJ7VAUTBWTYIWLVUE.jpg","",""
"https://www.reuters.com/markets/commodities/oil-prices-face-pressure-slow-china-demand-inventory-rise-2024-08-30/","Oil prices face pressure from slow China demand and inventory rise - Reuters poll","August 30, 2024","https://www.reuters.com/markets/commodities/oil-prices-face-pressure-slow-china-demand-inventory-rise-2024-08-30/","https://cloudfront-us-east-2.images.arcpublishing.com/reuters/FR22ZSDSYNJ33GNVQRYO3EKALE.jpg","",""
"https://www.reuters.com/markets/europe/ecb-hurry-may-owe-much-deepening-eu-china-trade-mike-dolan-2024-08-30/","ECB hurry may owe much to deepening EU-China trade","August 30, 2024","https://www.reuters.com/markets/europe/ecb-hurry-may-owe-much-deepening-eu-china-trade-mike-dolan-2024-08-30/","https://cloudfront-us-east-2.images.arcpublishing.com/reuters/V6BYDQBXEBLC3ISP2JT2D75AFY.jpg","",""
"https://www.reuters.com/world/middle-east/most-gulf-markets-gain-us-rate-cut-hopes-2024-08-29/","Most Gulf markets gain on US rate cut hopes","August 29, 2024","https://www.reuters.com/world/middle-east/most-gulf-markets-gain-us-rate-cut-hopes-2024-08-29/","https://cloudfront-us-east-2.images.arcpublishing.com/reuters/THU5MWQAOJJKZEKNR4JRLNJO4Y.jpg","",""
"https://www.reuters.com/world/middle-east/major-gulf-markets-fall-regional-tensions-2024-08-29/","Major Gulf markets fall on regional tensions","August 29, 2024","https://www.reuters.com/world/middle-east/major-gulf-markets-fall-regional-tensions-2024-08-29/","https://cloudfront-us-east-2.images.arcpublishing.com/reuters/THU5MWQAOJJKZEKNR4JRLNJO4Y.jpg","",""
"https://www.reuters.com/business/healthcare-pharmaceuticals/drugmaker-mundipharmas-china-unit-sale-fails-find-buyer-sources-say-2024-08-28/","Drugmaker Mundipharma's China unit sale fails to find buyer, sources say","August 28, 2024","https://www.reuters.com/business/healthcare-pharmaceuticals/drugmaker-mundipharmas-china-unit-sale-fails-find-buyer-sources-say-2024-08-28/","https://cloudfront-us-east-2.images.arcpublishing.com/reuters/RPZYC26C3RPFBMOHQAG3LRLSQM.jpg","",""
"https://www.reuters.com/world/middle-east/most-gulf-markets-ease-regional-tensions-2024-08-28/","Most Gulf markets ease on regional tensions","August 28, 2024","https://www.reuters.com/world/middle-east/most-gulf-markets-ease-regional-tensions-2024-08-28/","","<img src=""https://cloudfront-us-east-2.images.arcpublishing.com/reuters/L3H3IZI64RIHZPM75IZHPWMLSU.jpg"" width=""5472"" height=""3648"" alt=""A trader looks on near electronic boards showing stock market data at Bahrain Bourse in Manama"" />",""
"https://www.reuters.com/markets/global-markets-wrapup-1-2024-08-27/","Shares climb, oil slips amid Mideast risks and looming Nvidia earnings","August 28, 2024","https://www.reuters.com/markets/global-markets-wrapup-1-2024-08-27/","","<img src=""https://cloudfront-us-east-2.images.arcpublishing.com/reuters/SQZLN7JS6NPE5AJSWRQSRS3QWY.jpg"" width=""5304"" height=""3536"" alt=""Traders work on the floor of the NYSE in New York"" />","Markets"
